Feature,Mean_Abs_SHAP
Cas_IV-A3,0.046453614
Cas_I-E,0.04034594
Spacer_Cluster_29,0.0092861205
Spacer_Cluster_249,0.0062580644
Spacer_Cluster_336,0.00057212915
Spacer_Cluster_213,0.0002633549
Spacer_Cluster_245,7.199872e-05
Spacer_Cluster_110,0.0
Spacer_Cluster_220,0.0
Spacer_Cluster_148,0.0
Spacer_Cluster_14,0.0
Spacer_Cluster_230,0.0
Spacer_Cluster_2,0.0
Spacer_Cluster_234,0.0
Spacer_Cluster_248,0.0
Spacer_Cluster_254,0.0
Spacer_Cluster_257,0.0
Spacer_Cluster_221,0.0
Spacer_Cluster_229,0.0
Spacer_Cluster_1,0.0
Spacer_Cluster_0,0.0
Spacer_Cluster_268,0.0
Spacer_Cluster_267,0.0
Spacer_Cluster_266,0.0
Spacer_Cluster_265,0.0
